"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"id"
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"window";"1.37";48698.0;1
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"linux";"2.8";14651.0;2
"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";"window";"0.97";36710.0;3
"Dell";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"2";61219.0;4
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";"linux";"2.1";14647.0;5
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Intel";"window";"2.1";24456.0;6
"Dell";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"window";"1.34";22305.0;7
"Dell";"Ultrabook";13.3;3200;1800;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"window";"2.56";99580.0;8
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"window";"2.2";31232.0;9
"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"window";"1.86";74965.0;10
"Dell";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"window";"1.83";86793.0;11
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"linux";"2.62";25841.0;12
"Lenovo";"Ultrabook";12.5;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"window";"1.86";76137.0;13
"HP";"Notebook";13.3;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"window";"1.49";63776.0;14
"HP";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";"window";"1.37";52055.0;15
"Lenovo";"Notebook";15.6;1920;1080;0;"AMD";"A12-Series 9720P";3.6;12;"HDD";2048;0;"AMD";"window";"1.9";47899.0;16
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"window";"2.8";38148.0;17
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";"macos";"2.69";114018.0;18
"Asus";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;6;"SSD";256;0;"Nvidia";"window";"1.48";30743.0;19
"Lenovo";"2 in 1 Convertible";13.9;3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"window";"1.91";111835.0;20
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";"macos";"1.74";152274.0;21
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Pentium Quad";1.1;4;"SSD";128;0;"Intel";"window";"2.4";18595.0;22
"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"N/A";"2.1";13746.0;23
"Dell";"Notebook";17.3;1920;1080;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"window";"2.04";82531.0;24
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";"macos";"2.56";61736.0;25
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";"macos";"1.38";71379.0;26
"HP";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"window";"1.34";26054.0;27
"HP";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"window";"1.3";58555.0;28
"MSI";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"window";"2.13";130483.0;29
"Asus";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"linux";"1.6";27865.0;30
"HP";"Workstation";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"window";"1.91";92615.0;31
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"window";"2.2";97449.0;32
"Dell";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.8;8;"SSD";256;0;"Nvidia";"window";"2";62817.0;33
"Asus";"Notebook";17.3;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";"window";"2.43";24828.0;34
